87-0701288,ALL NATIONS FAMILY INC,Total Expenses,2010,"$1,004,072"
87-0701288,ALL NATIONS FAMILY INC,Total Expenses,2009,"$996,031"
87-0701288,ALL NATIONS FAMILY INC,Total Expenses,2008,"$978,437"
87-0701288,ALL NATIONS FAMILY INC,Total Expenses,2007,"$648,340"
87-0701288,ALL NATIONS FAMILY INC,Total Expenses,2006,"$504,060"
87-0701288,ALL NATIONS FAMILY INC,Fundraising/Other,2010,"$27,441"
87-0701288,ALL NATIONS FAMILY INC,Fundraising/Other,2009,"$1,132"
87-0701288,ALL NATIONS FAMILY INC,Fundraising/Other,2008,$0
87-0701288,ALL NATIONS FAMILY INC,Total Revenue,2010,"$1,065,792"
87-0701288,ALL NATIONS FAMILY INC,Total Revenue,2009,"$915,065"
87-0701288,ALL NATIONS FAMILY INC,Total Revenue,2008,"$1,036,687"
87-0701288,ALL NATIONS FAMILY INC,Total Revenue,2007,"$655,031"
87-0701288,ALL NATIONS FAMILY INC,Total Revenue,2006,"$651,090"
87-0701288,ALL NATIONS FAMILY INC,Administration,2010,"$74,224"
87-0701288,ALL NATIONS FAMILY INC,Administration,2009,"$65,152"
87-0701288,ALL NATIONS FAMILY INC,Administration,2008,"$68,121"
87-0701288,ALL NATIONS FAMILY INC,Administration,2007,"$50,268"
87-0701288,ALL NATIONS FAMILY INC,Administration,2006,"$43,615"
87-0701288,ALL NATIONS FAMILY INC,Sales,2010,$0
87-0701288,ALL NATIONS FAMILY INC,Government Grants,2010,$0
87-0701288,ALL NATIONS FAMILY INC,Net Gain/Loss,2010,"$61,720"
87-0701288,ALL NATIONS FAMILY INC,Net Gain/Loss,2009,"($80,966)"
87-0701288,ALL NATIONS FAMILY INC,Net Gain/Loss,2008,"$58,250"
87-0701288,ALL NATIONS FAMILY INC,Net Gain/Loss,2007,"$6,691"
87-0701288,ALL NATIONS FAMILY INC,Net Gain/Loss,2006,"$147,030"
87-0701288,ALL NATIONS FAMILY INC,Other,2010,$0
87-0701288,ALL NATIONS FAMILY INC,Other,2009,$294
87-0701288,ALL NATIONS FAMILY INC,Other,2008,$0
