87-0701288,ALL NATIONS FAMILY INC,Other,1-Jan-10,"$1,000"
87-0701288,ALL NATIONS FAMILY INC,Other,31-Dec-10,"$3,342"
87-0701288,ALL NATIONS FAMILY INC,Other,1-Jan-09,$0
87-0701288,ALL NATIONS FAMILY INC,Other,31-Dec-09,"$1,000"
87-0701288,ALL NATIONS FAMILY INC,Other,1-Jan-08,$0
87-0701288,ALL NATIONS FAMILY INC,Other,31-Dec-08,$0
87-0701288,ALL NATIONS FAMILY INC,Other,1-Jan-07,$0
87-0701288,ALL NATIONS FAMILY INC,Other,31-Dec-07,$0
87-0701288,ALL NATIONS FAMILY INC,Other,1-Jan-06,$0
87-0701288,ALL NATIONS FAMILY INC,Other,31-Dec-06,$0
87-0701288,ALL NATIONS FAMILY INC,Cash & Equivalent,1-Jan-10,"$84,688"
87-0701288,ALL NATIONS FAMILY INC,Cash & Equivalent,31-Dec-10,"$84,579"
87-0701288,ALL NATIONS FAMILY INC,Cash & Equivalent,1-Jan-09,"$156,449"
87-0701288,ALL NATIONS FAMILY INC,Cash & Equivalent,31-Dec-09,"$84,688"
87-0701288,ALL NATIONS FAMILY INC,Cash & Equivalent,1-Jan-08,"$95,134"
87-0701288,ALL NATIONS FAMILY INC,Cash & Equivalent,31-Dec-08,"$156,449"
87-0701288,ALL NATIONS FAMILY INC,Cash & Equivalent,1-Jan-07,"$85,639"
87-0701288,ALL NATIONS FAMILY INC,Cash & Equivalent,31-Dec-07,"$95,134"
87-0701288,ALL NATIONS FAMILY INC,Cash & Equivalent,1-Jan-06,"$67,609"
87-0701288,ALL NATIONS FAMILY INC,Cash & Equivalent,31-Dec-06,"$85,639"
87-0701288,ALL NATIONS FAMILY INC,Fixed Assets,1-Jan-10,"$155,963"
87-0701288,ALL NATIONS FAMILY INC,Fixed Assets,31-Dec-10,"$243,815"
87-0701288,ALL NATIONS FAMILY INC,Fixed Assets,1-Jan-09,"$158,516"
87-0701288,ALL NATIONS FAMILY INC,Fixed Assets,31-Dec-09,"$155,963"
87-0701288,ALL NATIONS FAMILY INC,Fixed Assets,1-Jan-08,"$126,333"
87-0701288,ALL NATIONS FAMILY INC,Fixed Assets,31-Dec-08,"$123,667"
87-0701288,ALL NATIONS FAMILY INC,Fixed Assets,1-Jan-07,"$129,000"
87-0701288,ALL NATIONS FAMILY INC,Fixed Assets,31-Dec-07,"$126,333"
87-0701288,ALL NATIONS FAMILY INC,Fixed Assets,1-Jan-06,$0
87-0701288,ALL NATIONS FAMILY INC,Fixed Assets,31-Dec-06,"$129,000"
87-0701288,ALL NATIONS FAMILY INC,Loans and Notes,1-Jan-10,$0
87-0701288,ALL NATIONS FAMILY INC,Loans and Notes,31-Dec-10,"$40,128"
87-0701288,ALL NATIONS FAMILY INC,Loans and Notes,1-Jan-09,$0
87-0701288,ALL NATIONS FAMILY INC,Loans and Notes,31-Dec-09,$0
87-0701288,ALL NATIONS FAMILY INC,Loans and Notes,1-Jan-08,$0
87-0701288,ALL NATIONS FAMILY INC,Loans and Notes,31-Dec-08,$0
87-0701288,ALL NATIONS FAMILY INC,Loans and Notes,1-Jan-07,$0
87-0701288,ALL NATIONS FAMILY INC,Loans and Notes,31-Dec-07,$0
87-0701288,ALL NATIONS FAMILY INC,Loans and Notes,1-Jan-06,$0
87-0701288,ALL NATIONS FAMILY INC,Loans and Notes,31-Dec-06,$0
87-0701288,ALL NATIONS FAMILY INC,Grants Payable,1-Jan-10,$0
